Some weights of SegformerModel were not initialized from the model checkpoint at nvidia/mit-b0 and are newly initialized because the shapes did not match:
- encoder.patch_embeddings.0.proj.weight: found shape torch.Size([32, 3, 7, 7]) in the checkpoint and torch.Size([32, 4, 7, 7]) in the model instantiated
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Using device: mps
Training cfg-img-medium-4ch | C=4 T=192 H=576 | mit-b0 | 15ep
epoch  1 | loss=1.4019 | val_rmse=41.80 | ✓ NEW BEST
epoch  2 | loss=0.3961 | val_rmse=36.80 | ✓ NEW BEST
epoch  3 | loss=0.3225 | val_rmse=26.76 | ✓ NEW BEST
epoch  4 | loss=0.2856 | val_rmse=25.84 | ✓ NEW BEST
epoch  5 | loss=0.2410 | val_rmse=27.59 | (25.84)
epoch  6 | loss=0.2454 | val_rmse=25.88 | (25.84)
epoch  7 | loss=0.2350 | val_rmse=25.92 | (25.84)
epoch  8 | loss=0.2216 | val_rmse=26.09 | (25.84)
epoch  9 | loss=0.2213 | val_rmse=25.72 | ✓ NEW BEST
epoch 10 | loss=0.2328 | val_rmse=25.91 | (25.72)
epoch 11 | loss=0.2030 | val_rmse=25.72 | (25.72)
epoch 12 | loss=0.2264 | val_rmse=27.66 | (25.72)
epoch 13 | loss=0.2558 | val_rmse=26.28 | (25.72)
epoch 14 | loss=0.2127 | val_rmse=25.64 | ✓ NEW BEST
epoch 15 | loss=0.2120 | val_rmse=25.57 | ✓ NEW BEST

Best: 25.57 ft @ ep15 | 85s
